ERAID,Rank,Title,FoR1,FoR1 Name,FoR2,FoR2 Name,FoR3,FoR2 Name,ISSN1,ISSN2,ISSN3,ISSN4
35073,C,Academie des Sciences. Comptes Rendus. Palevol,0403,Geology,,,,,1631-0683,1777-571X,,
8038,B,Academie Polonaise des Sciences. Centre d'Archeologie Mediterraneenne. Etudes et Travaux,2101,Archaeology,,,,,0079-3566,,,
17518,C,"Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique. Classe des Sciences. Bullet",MD,Multidisciplinary,,,,,0001-4141,,,
32185,C,Academie Serbe des Sciences et des Arts. Classe des Sciences Mathematiques et Naturelles. Bulletin S,0101,Pure Mathematics,,,,,0561-7332,,,
41358,C,Academy of Accounting and Financial Studies Journal,1501,"Accounting, Auditing and Accountability",1502,"Banking, Finance and Investment",,,1096-3685,1528-2635,,
19871,C,Academy of Entrepreneurship Journal,1503,Business and Management,,,,,1087-9595,1528-2686,,
32000,C,Academy of Information and Management Sciences Journal,0806,Information Systems,,,,,1524-7252,1532-5806,,
19152,A*,Academy of Management Journal,1503,Business and Management,,,,,0001-4273,1535-3990,,
39998,A*,Academy of Management Learning and Education,1503,Business and Management,,,,,1537-260X,1944-9585,,
19149,A*,Academy of Management Review,1503,Business and Management,,,,,0363-7425,1930-3807,,
19785,C,Academy of Marketing Science Review,1505,Marketing,,,,,1526-1794,,,
19862,C,Academy of Marketing Studies Journal,1505,Marketing,,,,,1095-6298,1528-2678,,
40538,B,Academy of Taiwan Business Management Revie,1502,"Banking, Finance and Investment",,,,,1813-0534,,,
6716,A*,Acadiensis: journal of the history of the Atlantic region,2103,Historical Studies,,,,,0044-5851,,,
44328,C,ACC Cardiosource Review Journal,1102,Cardiovascular Medicine and Haematology,0104,Statistics ,,,1556-8571,,,
32186,C,Accademia Nazionale dei Lincei. Atti. Matematica e Applicazioni. Rendiconti,0101,Pure Mathematics,,,,,1120-6330,1720-0768,,
7958,A,Accademia Nazionale dei Lincei. Atti. Notizie degli Scavi di Antichita,2101,Archaeology,,,,,0391-8157,,,
17563,C,Accademia Nazionale dei Lincei. Atti. Scienze Fisiche e Naturali. Rendiconti,MD,Multidisciplinary,,,,,1120-6349,1720-0776,,
17564,C,Accademia Peloritana dei Pericolanti. Classe di Scienze Fisiche Matematiche e Naturali. Atti,MD,Multidisciplinary,,,,,0365-0359,1825-1242,,
36948,C,Accademia: Revue de la Société Marsile Ficin,2203,Philosophy ,,,,,1296-7645,,,
20294,B,Access,0807,Library and Information Studies,,,,,1030-0155,,,
34724,A,"Access: critical perspectives on communication, cultural and policy studies",2002,Cultural Studies,0807,Library and Information Studies,2001,Communication and Media Studies,0111-8889,,,
13370,A*,Accident Analysis and Prevention,1117,Public Health and Health Services,1507,Transportation and Freight Services,1701,Psychology,0001-4575,,,
7851,B,Accordia Research Papers,2101,Archaeology,,,,,0968-1116,,,
44329,C,Accountability in research,MD,Multidisciplinary,,,,,0898-9621,,,
19056,C,Accountancy Business and the Public Interest,1501,"Accounting, Auditing and Accountability",,,,,1745-7718,,,
19058,A,Accounting and Business Research,1501,"Accounting, Auditing and Accountability",,,,,0001-4788,,,
19059,B,Accounting and Finance,1501,"Accounting, Auditing and Accountability",1502,"Banking, Finance and Investment",,,0810-5391,1467-629X,,
19060,B,Accounting and the Public Interest,1501,"Accounting, Auditing and Accountability",,,,,1530-9320,,,
19061,A*,Accounting Auditing and Accountability Journal,1501,"Accounting, Auditing and Accountability",,,,,1368-0668,1758-4205,0951-3574,
31096,C,Accounting Commerce and Finance: The Islamic Perspective Journal,1501,"Accounting, Auditing and Accountability",,,,,1328-8261,,,
19328,B,Accounting Education,1302,Curriculum and Pedagogy ,,,,,0963-9284,1468-4489,,
35977,C,Accounting Educators' Journal,1501,"Accounting, Auditing and Accountability",,,,,1041-0392,,,
19063,B,Accounting Forum,1501,"Accounting, Auditing and Accountability",,,,,0155-9982,1467-6303,,
19064,B,Accounting Historians Journal,1501,"Accounting, Auditing and Accountability",,,,,0148-4184,,,
19065,A,Accounting History,1501,"Accounting, Auditing and Accountability",,,,,1032-3732,1749-3374,,
19122,A,Accounting Horizons,1501,"Accounting, Auditing and Accountability",,,,,0888-7993,1558-7975,,
41359,B,Accounting in Europe,1501,"Accounting, Auditing and Accountability",1503,Business and Management,,,1744-9480,1744-9499,,
41360,C,Accounting Perspectives,1501,"Accounting, Auditing and Accountability",1502,"Banking, Finance and Investment",,,1911-382X,1911-3838,1499-8653,
19067,B,Accounting Research Journal,1501,"Accounting, Auditing and Accountability",,,,,1030-9616,,,
19068,A*,Accounting Review,1501,"Accounting, Auditing and Accountability",,,,,0001-4826,1558-7967,,
19057,C,"Accounting, Accountability and Performance",1501,"Accounting, Auditing and Accountability",,,,,1445-954X,1323-711X,,
35644,A,"Accounting, Business and Financial History",1501,"Accounting, Auditing and Accountability",1503,Business and Management,2202,History and Philosophy Of Specific Fields,0958-5206,1466-4275,,
19066,A*,"Accounting, Organizations and Society",1501,"Accounting, Auditing and Accountability",,,,,0361-3682,1873-6289,,
41361,A*,Accounts of Chemical Research,03,Chemical Sciences,,,,,0001-4842,1520-4898,,
44330,C,Accreditation and Quality Assurance,0301,Analytical Chemistry,,,,,0949-1775,,,
1554,C,ACGC Chemical Research Communications,0301,Analytical Chemistry,0305,Organic Chemistry,,,1020-5586,,,
35686,C,ACH: The Journal of the History of Culture in Australia,1303,Specialist Studies In Education,,,,,0728-8433,,,
4858,A,ACI Materials Journal,1202,Building,0905,Civil Engineering,0912,Materials Engineering,0889-325X,1944-737X,,
4142,A*,ACI Structural Journal,0905,Civil Engineering,1202,Building,,,0889-3241,1944-7361,,
44331,C,ACIMED,1103,Clinical Sciences,1117,Public Health and Health Services,,,1024-9435,,,
34850,B,ACM Computers in Entertainment,0899,Other Information and Computing Sciences,0801,Artificial Intelligence and Image Processing,,,1544-3574,1544-3981,,
39574,A*,ACM Computing Surveys,0803,Computer Software,,,,,0360-0300,1557-7341,,
32001,C,ACM Journal of Computer Documentation,0899,Other Information and Computing Sciences,,,,,1527-6805,1557-9441,,
44332,C,ACM Journal on Emerging Technologies in Computing Systems,1007,Nanotechnology,1006,Computer Hardware,,,1550-4832,,,
17724,A,ACM Transactions on Algorithms,0802,Computation Theory and Mathematics,,,,,1549-6325,1549-6333,,
17725,B,ACM Transactions on Applied Perception,0801,Artificial Intelligence and Image Processing,1702,Cognitive Science,,,1544-3558,1544-3965,,
17726,A,ACM Transactions on Architecture and Code Optimization,0803,Computer Software,,,,,1544-3566,1544-3973,,
17727,B,ACM Transactions on Asian Language Information Processing,0804,Data Format,0806,Information Systems,,,1530-0226,1558-3430,,
17728,B,ACM Transactions on Autonomous and Adaptive Systems,0801,Artificial Intelligence and Image Processing,1702,Cognitive Science,,,1556-4665,1556-4703,,
17729,A,ACM Transactions on Computational Logic,0802,Computation Theory and Mathematics,,,,,1529-3785,1557-945X,,
36114,A*,ACM Transactions on Computer - Human Interaction,0806,Information Systems,,,,,1073-0516,1557-7325,,
17730,A*,ACM Transactions on Computer Systems,0803,Computer Software,0806,Information Systems,,,0734-2071,1557-7333,,
17732,A*,ACM Transactions on Database Systems,0804,Data Format,0806,Information Systems,,,0362-5915,1557-4644,,
32178,A,ACM Transactions on Design Automation of Electronic Systems,0803,Computer Software,,,,,1084-4309,1557-7309,,
17733,A,ACM Transactions on Embedded Computing Systems,0803,Computer Software,,,,,1539-9087,1558-3465,,
17734,A*,ACM Transactions on Graphics,0801,Artificial Intelligence and Image Processing,0806,Information Systems,,,0730-0301,1557-7368,,
17735,A,ACM Transactions on Information and System Security,0803,Computer Software,0806,Information Systems,,,1094-9224,1557-7406,,
36115,A,ACM Transactions on Information Systems,0806,Information Systems,,,,,1046-8188,1558-2868,,
32003,A,ACM Transactions on Internet Technology,0805,Distributed Computing,0806,Information Systems,,,1533-5399,1557-6051,,
17737,B,ACM Transactions on Knowledge Discovery from Data,0801,Artificial Intelligence and Image Processing,,,,,1556-4681,1556-472X,,
2,A*,ACM Transactions on Mathematical Software,0802,Computation Theory and Mathematics,0806,Information Systems,,,0098-3500,1557-7295,,
17739,B,ACM Transactions on Modeling and Computer Simulation,0802,Computation Theory and Mathematics,0806,Information Systems,,,1049-3301,1558-1195,,
17740,B,ACM Transactions on Multimedia Computing Communications and Applications,0803,Computer Software,0806,Information Systems,,,1551-6857,1551-6865,,
17741,A*,ACM Transactions on Programming Languages and Systems,0803,Computer Software,0806,Information Systems,,,0164-0925,1558-4593,1057-4514,
17742,C,ACM Transactions on Sensor Networks,0805,Distributed Computing,,,,,1550-4859,1550-4867,,
17743,A*,ACM Transactions on Software Engineering and Methodology,0803,Computer Software,0806,Information Systems,,,1049-331X,1557-7392,,
17744,B,ACM Transactions on Speech and Language Processing,0801,Artificial Intelligence and Image Processing,1702,Cognitive Science,,,1550-4875,1550-4883,,
17745,B,ACM Transactions on Storage,0804,Data Format,,,,,1553-3077,1553-3093,,
17746,B,ACM Transactions on the Web,0805,Distributed Computing,,,,,1559-1131,1559-114X,,
44333,C,ACME,1606,Political Science,1604,Human Geography,,,1492-9732,,,
35169,C,Acme: annali della Facolta di Lettere e Filosofia dell'Universita degli Studi di Milano,2005,Literary Studies,2103,Historical Studies,2203,Philosophy ,0001-494X,,,
10220,C,ACMR Reports,19,Studies In Creative Arts and Writing,,,,,1071-0639,,,
44334,C,ACOG Clinical Review,1103,Clinical Sciences,0104,Statistics ,,,1085-6862,,,
34706,B,Acoma,2005,Literary Studies,,,,,1122-6218,,,
36332,C,ACORN: the journal of perioperative nursing in Australia,1110,Nursing,,,,,1448-7535,,,
44335,C,Acoustical Physics,0203,Classical Physics,,,,,1063-7710,,,
1283,C,Acoustical Science and Technology,0203,Classical Physics,,,,,1346-3969,0369-4232,1347-5177,0388-2861
1284,C,Acoustics Australia,0913,Mechanical Engineering,0203,Classical Physics,,,0814-6039,0310-1029,,
44336,C,Acoustics Bulletin,0203,Classical Physics,,,,,0308-437X,,,
13372,C,ACP Journal Club,1117,Public Health and Health Services,1103,Clinical Sciences,,,1056-8751,1539-8560,,
40504,B,"ACQuiring Knowledge in Speech, Language and Hearing",2004,Linguistics,,,,,1441-6727,,,
9312,C,Across Languages and Cultures: a multidisciplinary journal for translation and interpreting studies,2002,Cultural Studies,2003,Language Studies,,,1585-1923,1588-2519,,
9313,C,Across the Disciplines,1302,Curriculum and Pedagogy ,2003,Language Studies,,,1554-8244,1091-7098,,
39810,B,ACS Chemical Biology,0601,Biochemistry and Cell Biology,,,,,1554-8929,1554-8937,,
36346,C,ACS M's Health and Fitness Journal,1106,Human Movement and Sports Science,,,,,1091-5397,1536-593X,,
35029,A,ACS Nano,0912,Materials Engineering,,,,,1936-0851,1936-086X,,
7852,B,Acta ad Archaeologiam et Artium Historiam Pertinentia,1901,Art Theory and Criticism,2101,Archaeology,,,0065-0900,,,
44337,C,Acta Adriatica,0405,Oceanography,0704,Fisheries Sciences,,,0001-5113,,,
5443,C,Acta Agriculturae Scandinavica. Section A. Animal Science,0702,Animal Production,,,,,0906-4702,1651-1972,,
5244,C,Acta Agriculturae Scandinavica. Section B. Soil and Plant Science,0503,Soil Sciences,0703,Crop and Pasture Production,0607,Plant Biology,0906-4710,1651-1913,,
5331,C,Acta Agriculturae Slovenica,0703,Crop and Pasture Production,,,,,1581-9175,1854-1941,1408-340X,0459-6404
31053,C,Acta Agronomica Hungarica: an international multidisciplinary journal in agricultural science,0703,Crop and Pasture Production,,,,,0238-0161,1588-2527,,
44338,C,Acta Agronomica Sinica,0701,"Agriculture, Land and Farm Management",,,,,1875-2780,,,
9679,B,Acta Alimentaria: an international journal of food science,0908,Food Sciences,,,,,0139-3006,1588-2535,,
17565,C,Acta Amazonica,MD,Multidisciplinary,,,,,0044-5967,,,
44339,C,Acta Anaesthesiologica Belgica,1103,Clinical Sciences,,,,,0001-5164,,,
16603,C,Acta Anaesthesiologica Italica and Anaesthesia and Intensive Care in Italy: rivista di anestesia e cure pre e post-operatorie,1103,Clinical Sciences,,,,,1124-8882,,,
15577,B,"Acta Anaesthesiologica Scandinavica: an international journal of anaesthesiology and intensive care, pain and emergency medicine",1103,Clinical Sciences,,,,,0001-5172,1399-6576,,
44340,C,Acta Anaesthesiologica Taiwanica,1103,Clinical Sciences,,,,,0254-1319,,,
8292,B,Acta Analytica,2203,Philosophy ,,,,,0353-5150,1874-6349,,
44341,C,Acta Anatomica Sinica,1103,Clinical Sciences,,,,,0529-1356,,,
44342,C,Acta Angiologica,1102,Cardiovascular Medicine and Haematology,,,,,1234-950X,,,
6720,B,Acta Antiqua Academiae Scientiarum Hungaricae,2103,Historical Studies,,,,,0044-5975,1588-2543,,
3,B,Acta Applicandae Mathematicae,0102,Applied Mathematics,,,,,0167-8019,1572-9036,,
3044,C,Acta Arachnologica,0608,Zoology,,,,,0001-5202,1880-7852,,
7853,B,Acta Archaelogica Carpathica,2101,Archaeology,,,,,0001-5229,,,
44343,C,Acta Archaeologica,2101,Archaeology,,,,,0065-101X,,,
7854,B,Acta Archaeologica Academiae Scientiarum Hungaricae,2101,Archaeology,,,,,0001-5210,1588-2551,,
7856,C,Acta Archaeologica Lovaniensia - Monographiae,2101,Archaeology,,,,,0776-2984,,,
4,B,Acta Arithmetica,0101,Pure Mathematics,,,,,0065-1036,1730-6264,,
21114,B,Acta Asiatica,MD,Multidisciplinary,,,,,0567-7254,,,
3572,C,Acta Astronautica,0901,Aerospace Engineering,,,,,0094-5765,,,
1044,B,Acta Astronomica: an international quarterly journal,0201,Astronomical and Space Sciences,,,,,0001-5237,,,
17747,C,Acta Automatica Sinica,0801,Artificial Intelligence and Image Processing,,,,,1874-1029,0254-4156,,
2302,C,Acta Biochimica et Biophysica Sinica,0601,Biochemistry and Cell Biology,,,,,1672-9145,1745-7270,0582-9879,
2303,C,Acta Biochimica Polonica,0601,Biochemistry and Cell Biology,,,,,0001-527X,1734-154X,,
44344,B,Acta Bioethica,2201,Applied Ethics,,,,,0717-5906,,,
2673,C,Acta Biologica Colombiana,0607,Plant Biology,,,,,0120-548X,1900-1649,,
2779,C,Acta Biologica Cracoviensia Series Zoologia,0608,Zoology,,,,,0001-530X,,,
2674,C,Acta Biologica Cracoviensia. Botanica,0607,Plant Biology,,,,,0001-5296,,,
2043,C,Acta Biologica Hungarica,06,Biological Sciences,,,,,0236-5383,1588-256X,,
44345,C,Acta Biologica Szegediensis,06,Biological Sciences,,,,,1588-385X,,,
3385,A,Acta Biomaterialia,0903,Biomedical Engineering ,1004,Medical Biotechnology,,,1742-7061,1878-7568,,
44346,C,Acta Biomedica de l'Ateneo Parmense,11,Medical and Health Sciences,06,Biological Sciences,,,0392-4203,,,
2304,C,Acta Bioquimica Clinica Latinoamericana,0601,Biochemistry and Cell Biology,1101,Medical Biochemistry and Metabolomics,,,0325-2957,0006-3533,,
2044,C,Acta Biotheoretica,06,Biological Sciences,,,,,0001-5342,1572-8358,,
7857,C,Acta Borealia: a Nordic journal of circumpolar societies,2101,Archaeology,,,,,0800-3831,1503-111X,,
2675,C,Acta Botanica Barcinonensia,0607,Plant Biology,,,,,0210-7597,0210-6574,,
44347,C,Acta Botanica Brasilica,0607,Plant Biology,0499,Other Earth Sciences,,,0102-3306,,,
2676,C,Acta Botanica Croatica,0607,Plant Biology,,,,,0365-0588,,,
2677,C,Acta Botanica Fennica,0607,Plant Biology,,,,,0001-5369,,,
2678,C,Acta Botanica Gallica,0607,Plant Biology,,,,,1253-8078,0181-1789,,
44348,C,Acta Botanica Hungarica,06,Biological Sciences,04,Earth Sciences,,,0236-6495,,,
2679,C,Acta Botanica Indica,0607,Plant Biology,,,,,0379-508X,,,
2680,C,Acta Botanica Malacitana,0607,Plant Biology,,,,,0210-9506,,,
44349,C,Acta Botanica Venezuelica,0607,Plant Biology,0499,Other Earth Sciences,,,0084-5906,,,
36344,C,Acta Cardiologica: an international journal of cardiology,1102,Cardiovascular Medicine and Haematology,,,,,0373-7934,0001-5385,,
44351,C,Acta Chimica Slovenica,03,Chemical Sciences,09,Engineering,,,1318-0207,,,
2780,C,Acta Chiropterologica: international journal of bat biology,0608,Zoology,,,,,1508-1109,,,
44352,C,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,1103,Clinical Sciences,,,,,0001-5415,,,
44353,C,Acta Chirurgiae Plasticae,1103,Clinical Sciences,,,,,0001-5423,,,
44354,C,Acta Chirurgica Belgica,1103,Clinical Sciences,,,,,0001-5458,,,
44355,C,Acta chirurgica Iugoslavica,1103,Clinical Sciences,,,,,0354-950X,,,
30169,C,Acta Chromatographicae,0301,Analytical Chemistry,,,,,1233-2356,,,
429,C,Acta Ciencia Indica. Mathematics,0101,Pure Mathematics,,,,,0970-0455,,,
17566,C,Acta Cientifica Venezolana,MD,Multidisciplinary,,,,,0001-5504,,,
44356,C,Acta Cirurgica Brasileira,1103,Clinical Sciences,,,,,0102-8650,,,
35588,C,Acta Classica,2103,Historical Studies,,,,,0065-1141,,,
40971,C,Acta Clinica Belgica,1101,Medical Biochemistry and Metabolomics,,,,,1784-3286,0001-5512,0567-7386,
44358,C,Acta Clinica Croatica,1103,Clinical Sciences,,,,,0353-9466,,,
44359,C,Acta Colombiana de Psicologia,17,Psychology and Cognitive Sciences,,,,,0123-9155,,,
6722,A,Acta Comeniana,2103,Historical Studies,,,,,0231-5955,,,
16959,B,Acta Criminologica,1602,Criminology,,,,,1012-8093,,,
34295,A,Acta Crystallographica Section A: Foundations of Crystallography,0204,Condensed Matter Physics,0306,Physical Chemistry (Incl. Structural),,,0108-7673,,,
34324,A,Acta Crystallographica Section B: Structural Science,0306,Physical Chemistry (Incl. Structural),,,,,0108-7681,,,
34323,C,Acta Crystallographica Section C: Crystal Structure Communications,0306,Physical Chemistry (Incl. Structural),,,,,0108-2701,1600-5759,,
40284,B,Acta Crystallographica Section D: Biological Crystallography,03,Chemical Sciences,06,Biological Sciences,,,0907-4449,1399-0047,,
34322,C,Acta Crystallographica Section E: Structure Reports Online,03,Chemical Sciences,,,,,1600-5368,,,
34360,C,Acta CrystallographicaSection F: Structural Biology and Crystallization Communications Online,0601,Biochemistry and Cell Biology,,,,,1744-3091,,,
44360,C,Acta Cybernetica,0801,Artificial Intelligence and Image Processing,0802,Computation Theory and Mathematics,,,0324-721X,,,
15578,C,Acta Cytologica: the journal of clinical cytology and cytopathology,1103,Clinical Sciences,,,,,0001-5547,1938-2650,,
15579,B,Acta Dermato-Venereologica,1103,Clinical Sciences,,,,,0001-5555,,,
44361,C,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",1103,Clinical Sciences,,,,,1318-4458,,,
44362,C,Acta Dermatovenerologica Croatica,1103,Clinical Sciences,,,,,1330-027X,,,
15580,C,Acta Diabetologica: an international journal devoted to the study of clinical and experimental diabetes and metabolism,1103,Clinical Sciences,,,,,0940-5429,1432-5233,,
12608,C,Acta Ecclesiastica Sloveniae,2204,Religion and Religious Studies,,,,,0351-2789,,,
44363,C,Acta Ecologica Sinica,0501,Ecological Applications,0602,Ecology,,,1000-0933,,,
4517,C,Acta Electrotehnica,0906,Electrical and Electronic Engineering,,,,,1224-2497,,,
15581,C,Acta Endoscopica,1103,Clinical Sciences,,,,,0240-642X,1765-3134,,
430,C,Acta et Commentationes Universitatis Tartuensis de Mathematica,0101,Pure Mathematics,,,,,1406-2283,0132-053X,,
9834,C,Acta Ethnographica Hungarica: an international journal of ethnography,1601,Anthropology ,,,,,1216-9803,1588-2586,0001-5628,
2782,C,Acta Ethologica,0608,Zoology,,,,,0873-9749,1437-9546,1130-3204,
44364,C,Acta Facultatis Medicae Naissensis,11,Medical and Health Sciences,,,,,0351-6083,,,
44365,C,Acta Facultatis Xylologiae,0705,Forestry Sciences,0701,"Agriculture, Land and Farm Management",,,1336-3824,,,
41364,C,Acta Gastro-Enterologica Belgica,1103,Clinical Sciences,,,,,1784-3227,0001-5644,,
44368,C,Acta Gastroenterologica Latinoamericana,1103,Clinical Sciences,,,,,0300-9033,,,
44369,C,Acta Geodaetica et Cartographica Sinica,0909,Geomatic Engineering ,,,,,1001-1595,,,
44370,C,Acta Geodaetica et Geophysica Hungarica,0909,Geomatic Engineering ,0404,Geophysics,,,1217-8977,,,
35062,C,Acta Geographica Slovenica,0406,Physical Geography and Environmental Geoscience,,,,,1581-6613,1581-8314,1854-5106,0351-1731
35060,C,Acta Geologica Polonica,0403,Geology,,,,,0001-5709,,,
34498,B,Acta Geologica Sinica,04,Earth Sciences,,,,,1000-9515,1755-6724,0001-5717,
44371,C,Acta Geophysica,0404,Geophysics,,,,,1895-6572,,,
40357,B,Acta Geotechnica,0905,Civil Engineering,,,,,1861-1125,1861-1133,,
44372,C,Acta Ginecologica,1114,Paediatrics and Reproductive Medicine,,,,,0001-5776,,,
15582,B,Acta Haematologica,1102,Cardiovascular Medicine and Haematology,,,,,0001-5792,1421-9662,,
44373,C,Acta Haematologica Polonica,1102,Cardiovascular Medicine and Haematology,,,,,0001-5814,,,
44374,C,Acta Hepatologica Japonica,1103,Clinical Sciences,,,,,0451-4203,,,
15256,C,Acta Histochemica,1101,Medical Biochemistry and Metabolomics,,,,,0065-1281,1618-0372,,
2129,C,Acta Histochemica et Cytochemica (Print),0601,Biochemistry and Cell Biology,,,,,0044-5991,1347-5800,,
10221,C,Acta Historiae Artis Slovenica,1901,Art Theory and Criticism,,,,,1408-0419,,,
11260,C,Acta Historiae Rerum Naturalium nec non Technicarum,2202,History and Philosophy Of Specific Fields,,,,,0231-6005,,,
6723,B,Acta Historica Tallinnensia,2103,Historical Studies,,,,,1406-2925,,,
6724,B,Acta Histriae,2103,Historical Studies,,,,,1318-0185,,,
5408,C,Acta Horti Botanici Bucurestiensis,0706,Horticultural Production,,,,,0374-1273,,,
5378,B,Acta Horticulturae,0706,Horticultural Production,,,,,0567-7572,,,
5409,B,"Acta Horticulturae et Regiotecturae: the scientific journal for horticulture, landscape engineering, architecture and ecology",0706,Horticultural Production,,,,,1335-2563,,,
44375,C,Acta Hospitalia,1117,Public Health and Health Services,,,,,0044-6009,,,
5769,C,Acta Ichthyologica et Piscatoria,0704,Fisheries Sciences,,,,,0137-1592,1734-1515,,
19224,A,Acta Informatica,0803,Computer Software,0804,Data Format,,,0001-5903,1432-0525,,
33046,C,Acta Juridica,1801,Law,,,,,0065-1346,1996-2088,,
9735,C,Acta Kinesiologiae Universitatis Tartuensis,1106,Human Movement and Sports Science,,,,,1406-9822,,,
21116,B,Acta Koreana,MD,Multidisciplinary,,,,,1520-7412,,,
8703,A,Acta Linguistica Hafniensia: international journal of linguistics,2004,Linguistics,,,,,0374-0463,,,
8704,B,Acta Linguistica Hungarica: an international journal of linguistics,2004,Linguistics,,,,,1216-8076,1588-2624,0001-5946,
44377,C,Acta Literaria,2005,Literary Studies,,,,,0716-0909,,,
4742,A*,Acta Materialia,0912,Materials Engineering,,,,,1359-6454,1873-2453,0956-7151,
5,A*,Acta Mathematica,0101,Pure Mathematics,,,,,0001-5962,1871-2509,,
7,B,Acta Mathematica Hungarica,0101,Pure Mathematics,,,,,0236-5294,1588-2632,,
30631,B,Acta Mathematica Scientia,0101,Pure Mathematics,0102,Applied Mathematics,,,0252-9602,1003-3998,1572-9087,
